ID;ESPACIOS CULTURALES;Museo de Antioquia;Biblioteca Pública Piloto;Jardín Botánico;Parque Explora;Planetario
04IN10;Biblioteca Pública Piloto;0,333333333;1;5;7;5
04IN10;Jardín Botánico;0,2;0,2;1;3;1
04IN10;Parque Explora;0,2;0,142857143;0,333333333;1;3
04IN10;Planetario;0,2;0,2;1;0,333333333;1
04IE11;Museo de Antioquia;1;1;3;5;5
04IE11;Biblioteca Pública Piloto;1;1;5;5;5
04IE11;Jardín Botánico;0,333333333;0,2;1;3;3
04IE11;Parque Explora;0,2;0,2;0,333333333;1;1
04IE11;Planetario;0,2;0,2;0,333333333;1;1
04IN12;Museo de Antioquia;1;1;5;3;5
04IN12;Biblioteca Pública Piloto;1;1;5;5;5
04IN12;Jardín Botánico;0,2;0,2;1;3;5
04IN12;Parque Explora;0,333333333;0,2;0,333333333;1;3
04IN12;Planetario;0,2;0,2;0,2;0,333333333;1
04IN13;Museo de Antioquia;1;1;0,2;0,2;3
04IN13;Biblioteca Pública Piloto;1;1;3;5;5
04IN13;Jardín Botánico;5;0,333333333;1;3;3
04IN13;Parque Explora;5;0,2;0,333333333;1;1
04IN13;Planetario;0,333333333;0,2;0,333333333;1;1
04IN14;Museo de Antioquia;1;1;3;3;3
04IN14;Biblioteca Pública Piloto;1;1;5;5;3
04IN14;Jardín Botánico;0,333333333;0,2;1;3;5
04IN14;Parque Explora;0,333333333;0,2;0,333333333;1;1
04IN14;Planetario;0,333333333;0,333333333;0,2;1;1
04IE15;Museo de Antioquia;1;1;3;3;5
04IE15;Biblioteca Pública Piloto;1;1;5;5;5
04IE15;Jardín Botánico;0,333333333;0,2;1;3;3
04IE15;Parque Explora;0,333333333;0,2;0,333333333;1;3
04IE15;Planetario;0,2;0,2;0,333333333;0,333333333;1
04IN16;Museo de Antioquia;1;1;3;3;5
04IN16;Biblioteca Pública Piloto;1;1;5;5;5
04IN16;Jardín Botánico;0,333333333;0,2;1;3;1
04IN16;Parque Explora;0,333333333;0,2;0,333333333;1;1
04IN16;Planetario;0,2;0,2;1;1;1
04IN17;Museo de Antioquia;1;0,2;3;3;3
04IN17;Biblioteca Pública Piloto;5;1;5;5;5
04IN17;Jardín Botánico;0,333333333;0,2;1;3;3
04IN17;Parque Explora;0,333333333;0,2;0,333333333;1;1
04IN17;Planetario;0,333333333;0,2;0,333333333;1;1
04FN18;Museo de Antioquia;1;1;3;5;5
04FN18;Biblioteca Pública Piloto;1;1;5;5;7
04FN18;Jardín Botánico;0,333333333;0,2;1;3;3
04FN18;Parque Explora;0,2;0,2;0,333333333;1;1
04FN18;Planetario;0,2;0,142857143;0,333333333;1;1
04FN19;Museo de Antioquia;1;1;3;5;5
04FN19;Biblioteca Pública Piloto;1;1;5;5;5
04FN19;Jardín Botánico;0,333333333;0,2;1;3;3
04FN19;Parque Explora;0,2;0,2;0,333333333;1;5
04FN19;Planetario;0,2;0,2;0,333333333;0,2;1
04FN21;Museo de Antioquia;1;3;3;5;3
04FN21;Biblioteca Pública Piloto;0,333333333;1;5;5;5
04FN21;Jardín Botánico;0,333333333;0,2;1;3;3
04FN21;Parque Explora;0,2;0,2;0,333333333;1;1
04FN21;Planetario;0,333333333;0,2;0,333333333;1;1
04FN22;Museo de Antioquia;1;1;3;3;3
04FN22;Biblioteca Pública Piloto;1;1;5;7;7
04FN22;Jardín Botánico;0,333333333;0,2;1;1;3
04FN22;Parque Explora;0,333333333;0,142857143;1;1;5
04FN22;Planetario;0,333333333;0,142857143;0,333333333;0,2;1
04FN23;Museo de Antioquia;1;5;5;3;5
04FN23;Biblioteca Pública Piloto;0,2;1;5;5;5
04FN23;Jardín Botánico;0,2;0,2;1;3;3
04FN23;Parque Explora;0,333333333;0,2;0,333333333;1;1
04FN23;Planetario;0,2;0,2;0,333333333;1;1
04FN24;Museo de Antioquia;1;1;5;5;3
04FN24;Biblioteca Pública Piloto;1;1;3;3;3
04FN24;Jardín Botánico;0,2;0,333333333;1;5;3
04FN24;Parque Explora;0,2;0,333333333;0,2;1;3
04FN24;Planetario;0,333333333;0,333333333;0,333333333;0,333333333;1
04IE25;Museo de Antioquia;1;1;5;5;3
04IE25;Biblioteca Pública Piloto;1;1;5;5;5
04IE25;Jardín Botánico;0,2;0,2;1;3;3
04IE25;Parque Explora;0,2;0,2;0,333333333;1;1
04IE25;Planetario;0,333333333;0,2;0,333333333;1;1
05FN02;Museo de Antioquia;1;8;7;8;5
05FN02;Biblioteca Pública Piloto;0,125;1;6;5;4
05FN02;Jardín Botánico;0,142857143;0,166666667;1;3;6
05FN02;Parque Explora;0,125;0,2;0,333333333;1;2
05FN02;Planetario;0,2;0,25;0,25;0,5;1
05FN06;Museo de Antioquia;1;3;6;5;2
05FN06;Biblioteca Pública Piloto;0,333333333;1;5;7;6
05FN06;Jardín Botánico;0,166666667;0,2;1;4;4
05FN06;Parque Explora;0,2;0,142857143;0,25;1;2
05FN06;Planetario;0,5;0,166666667;0,25;0,5;1
05FN09;Museo de Antioquia;1;6;6;5;7
05FN09;Biblioteca Pública Piloto;0,166666667;1;5;4;3
05FN09;Jardín Botánico;0,166666667;0,2;1;4;6
